minute,player,x,y,xG,outcome
10,Amad Diallo Traore,0.874000015258789,0.4540000152587891,0.2974199950695038,MissedShots
59,Amad Diallo Traore,0.8880000305175781,0.354000015258789,0.0644537881016731,Goal
80,Amad Diallo Traore,0.7930000305175782,0.2579999923706054,0.0133663462474942,MissedShots
28,Amad Diallo Traore,0.7569999694824219,0.2860000038146972,0.0192633774131536,SavedShot
49,Amad Diallo Traore,0.8340000152587891,0.3039999961853027,0.0315881222486496,BlockedShot
62,Amad Diallo Traore,0.8530000305175781,0.3659999847412109,0.0595564283430576,BlockedShot
76,Amad Diallo Traore,0.7190000152587891,0.4209999847412109,0.0155506646260619,BlockedShot
83,Amad Diallo Traore,0.7419999694824219,0.3420000076293945,0.0130008561536669,SavedShot
5,Amad Diallo Traore,0.8930000305175781,0.3010000038146972,0.0537514090538024,BlockedShot
41,Amad Diallo Traore,0.799000015258789,0.3270000076293945,0.0448969043791294,BlockedShot
47,Amad Diallo Traore,0.8469999694824218,0.485,0.2419338673353195,SavedShot
91,Amad Diallo Traore,0.7769999694824219,0.33,0.0385565049946308,MissedShots
45,Amad Diallo Traore,0.774000015258789,0.2770000076293945,0.0185765475034713,SavedShot
92,Amad Diallo Traore,0.875999984741211,0.4159999847412109,0.1165876537561416,BlockedShot
7,Amad Diallo Traore,0.85,0.3729999923706055,0.0208250898867845,BlockedShot
13,Amad Diallo Traore,0.8859999847412109,0.3420000076293945,0.073921762406826,MissedShots
13,Amad Diallo Traore,0.89,0.4520000076293945,0.1137275174260139,BlockedShot
49,Amad Diallo Traore,0.845,0.2820000076293945,0.0329697653651237,SavedShot
63,Amad Diallo Traore,0.8719999694824219,0.3970000076293945,0.0600955188274383,MissedShots
86,Amad Diallo Traore,0.8440000152587891,0.3940000152587891,0.0502058640122413,BlockedShot
34,Amad Diallo Traore,0.8619999694824219,0.344000015258789,0.0577969327569007,BlockedShot
49,Amad Diallo Traore,0.8109999847412109,0.3509999847412109,0.0592701025307178,BlockedShot
61,Amad Diallo Traore,0.8830000305175781,0.4679999923706054,0.0494719110429286,SavedShot
89,Amad Diallo Traore,0.963000030517578,0.6519999694824219,0.4423321187496185,Goal
5,Amad Diallo Traore,0.87,0.519000015258789,0.082709401845932,SavedShot
72,Amad Diallo Traore,0.8480000305175781,0.5429999923706055,0.0526637732982635,MissedShots
81,Amad Diallo Traore,0.7909999847412109,0.54,0.0337069369852542,MissedShots
40,Amad Diallo Traore,0.8190000152587891,0.3779999923706054,0.0469783805310726,BlockedShot
53,Amad Diallo Traore,0.8130000305175781,0.615,0.0322921238839626,BlockedShot
71,Amad Diallo Traore,0.8419999694824218,0.31,0.0443720780313015,BlockedShot
79,Amad Diallo Traore,0.909000015258789,0.5220000076293946,0.4707243740558624,Goal
88,Amad Diallo Traore,0.89,0.2920000076293945,0.0320484489202499,BlockedShot
23,Amad Diallo Traore,0.7930000305175782,0.3829999923706054,0.0321525819599628,MissedShots
71,Amad Diallo Traore,0.86,0.4659999847412109,0.0647062808275222,BlockedShot
81,Amad Diallo Traore,0.9309999847412108,0.3720000076293945,0.3304602205753326,Goal
81,Amad Diallo Traore,0.879000015258789,0.32,0.054437443614006,BlockedShot
89,Amad Diallo Traore,0.914000015258789,0.4529999923706054,0.329629510641098,Goal
93,Amad Diallo Traore,0.9259999847412108,0.3909999847412109,0.3926829695701599,Goal
48,Amad Diallo Traore,0.8809999847412109,0.3429999923706054,0.0616145208477973,BlockedShot
72,Amad Diallo Traore,0.8119999694824219,0.3970000076293945,0.0770415291190147,MissedShots
64,Amad Diallo Traore,0.7619999694824219,0.364000015258789,0.0224623419344425,BlockedShot
90,Amad Diallo Traore,0.75,0.4540000152587891,0.0277931243181228,BlockedShot
94,Amad Diallo Traore,0.855999984741211,0.3120000076293945,0.0375987142324447,Goal
8,Amad Diallo Traore,0.8680000305175781,0.2839999961853027,0.0326400287449359,SavedShot
78,Amad Diallo Traore,0.9009999847412108,0.3029999923706055,0.0577558502554893,SavedShot
11,Amad Diallo Traore,0.889000015258789,0.46,0.0943131446838378,MissedShots
75,Amad Diallo Traore,0.9569999694824218,0.4170000076293945,0.3459354639053345,Goal
