Statistic,Per 90,Percentile,Table
Non-Penalty Goals,0.32,83.0,scout_summary_AM
npxG: Non-Penalty xG,0.25,67.0,scout_summary_AM
Shots Total,2.15,58.0,scout_summary_AM
Assists,0.19,59.0,scout_summary_AM
xAG: Exp. Assisted Goals,0.28,88.0,scout_summary_AM
npxG + xAG,0.53,80.0,scout_summary_AM
Shot-Creating Actions,3.54,59.0,scout_summary_AM
Passes Attempted,32.09,44.0,scout_summary_AM
Pass Completion %,73.0%,31.0,scout_summary_AM
Progressive Passes,2.15,17.0,scout_summary_AM
Progressive Carries,2.66,40.0,scout_summary_AM
Successful Take-Ons,1.14,39.0,scout_summary_AM
Touches (Att Pen),4.05,50.0,scout_summary_AM
Progressive Passes Rec,7.66,63.0,scout_summary_AM
Tackles,1.08,24.0,scout_summary_AM
Interceptions,0.32,31.0,scout_summary_AM
Blocks,0.63,15.0,scout_summary_AM
Clearances,0.63,38.0,scout_summary_AM
Aerials Won,0.38,34.0,scout_summary_AM
